# 稀有度改版新增食材（10 种）· 干净态

风格段（每条前面原样拼上）：
Cozy casual mobile-game cartoon, clean medium-thick dark-brown outlines (#2A2018), soft cel shading, gentle warm highlights. Whole unprocessed market ingredient only, never sliced, never cross-section, no plating, no garnish, no cutting board, no knife, no hands. Same style as the existing bokchoy / tomato / egg / crab icons in this game. Readable silhouette at 64px. NO photorealism, NO photo, NO pixel art. NO TEXT, no labels, no numbers, no captions, no watermark. Isolated on solid pure white background, one item, centered, filling the canvas.

| id | 名称 | 占格 | 稀有度 | 比例 | 主体描述 |
|---|---|---|---|---|---|
| scallion | 小葱 | 1×2 | 普通绿 | 3:4 | A small tied bundle of fresh spring onions / scallions, slender white bulbs at the bottom fading into long bright-green hollow leaves, bound once with a thin straw string. |
| bamboo_shoot | 春笋 | 1×3 | 高级蓝 | 9:16 | A single unpeeled spring bamboo shoot standing upright, conical, wrapped in overlapping tan-brown husk leaves with fine dark hairs, pale cream tip. |
| yam | 山药 | 1×3 | 高级蓝 | 9:16 | One long Chinese yam root, slightly crooked cylinder, beige-tan skin with scattered fine dark rootlets and a little dry soil, unpeeled and uncut. |
| wood_ear | 木耳 | 1×1 | 高级蓝 | 1:1 | A small cluster of black wood-ear fungus, glossy ruffled ear-shaped folds, very dark brown-black with subtle warm rim light so it stays readable. |
| chestnut | 板栗 | 1×1 | 高级蓝 | 1:1 | Three glossy unshelled chestnuts resting together, rich reddish-brown shells with pale flat bases and small pointed tufts on top. |
| matsutake | 松茸 | 1×2 | 稀有紫 | 3:4 | One whole matsutake pine mushroom standing upright, thick pale cream stem with fine brown scaled pattern, firm unopened tan cap, a faint soft glow to read as precious. |
| duck_leg | 鸭腿 | 2×2 | 高级蓝 | 1:1 | One raw duck leg with thigh attached, smooth pale-gold skin, exposed bone tip at the narrow end, plump and fresh, no plate. |
| beef_brisket | 牛腩 | 2×2 | 稀有紫 | 1:1 | One thick chunk of raw beef brisket, deep red marbled meat with cream-white fat layers and visible sinew, blocky and heavy. |
| ham | 火腿 | 2×1 | 稀有紫 | 4:3 | One whole cured Jinhua ham leg lying horizontally, dark reddish-brown dried rind, narrow hoof end, a loop of hemp rope at the narrow end, aged and glossy. |
| river_eel | 河鳗 | 1×4 | 稀有紫 | 9:16 | One whole river eel curved into a long vertical S, dark olive-green back fading to pale cream belly, glossy wet skin, small head with tiny eye, no blood, no cutting. |

抠图：rembg `birefnet-general`，再 crop_trim `--padding 4`，长边压到 320，转 P 模式调色板。
